Meu Malvado Favorito 4,2024,6.3/10,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, an... Read all"
Clube dos Vândalos,2023,6.9/10,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must cho... Read all"
Um Tira da Pesada 4: Axel Foley,2024,6.5/10,"Axel Foley returns to Beverly Hills after his daughter's life is threatened, and works with old pals John Taggart and Billy Rosewood to uncover a conspiracy."
Kalki 2898-AD,2024,7.7/10,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
Divertida Mente 2,2024,7.9/10,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to th... Read all"
Planeta dos Macacos: O Reinado,2024,7.1/10,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for a... Read all"
Um Lugar Silencioso: Dia Um,2024,6.7/10,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
MaXXXine,2024,6.8/10,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to re... Read all"
Horizon: An American Saga - Chapter 1,2024,7.0/10,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Como Vender a Lua,2024,6.8/10,"Marketing maven Kelly Jones wreaks havoc on launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
Twisters,2024,7.0/10,A retired tornado-chaser and meteorologist is persuaded to return to Oklahoma to work with a new team and new technologies.
Tudo em Família,2024,5.4/10,"A surprising romance kicks off comic consequences for a young woman, her mother and her movie star boss as they face the complications of love, sex, and identity."
Amigos Imaginários,2024,6.5/10,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Um Tira da Pesada,1984,7.4/10,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.
Furiosa: Uma Saga Mad Max,2024,7.7/10,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Descedentes: A Ascensão de Copas,2024,4.6/10,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling back in time using the White Rabbit's pocket watch, to stop an e... Read all"
Tipos de Gentileza,2024,7.0/10,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual pro... Read all"
Twister,1996,6.5/10,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.
Uma Astronauta Quase Perfeita,2024,4.9/10,"Rex, a Florida party girl, turns out to be the only hope for the NASA space program after a fluke puts her in training with other candidates who may have better resumés, but don't have her s... Read all"
Gladiador,2000,8.5/10,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
